v1,price,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer
77,"$2,000 ",chicago,chicago S,1999 Toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
78,"$2,400 ",chicago,chicago W,2000 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,166457,grey,mid-size,automatic,sedan,1
79,"$5,999 ",chicago,chicago W,2009 toyota camry le,like new,4 cylinders,fwd,gas,132572,silver,full-size,automatic,sedan,1
80,"$9,300 ",chicago,chicago W,2011 toyota camry xle,excellent,6 cylinders,fwd,gas,90653,green,full-size,automatic,sedan,1
81,"$11,877 ",chicago,chicago W,2012 TOYOTA CAMRY HYBRID XLE,excellent,4 cylinders,fwd,hybrid,112707,white,mid-size,automatic,NA,1
82,"$10,500 ",chicago,chicago W,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,62628,grey,mid-size,automatic,sedan,1
83,"$12,900 ",chicago,chicago W,2016 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,52482,black,mid-size,automatic,sedan,1
84,"$3,300 ",chicago,chicago W,2004 Toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
85,"$4,500 ",chicago,chicago W,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,160,blue,NA,automatic,sedan,0
86,"$4,400 ",chicago,chicago W,2004 toyota camry le 4dr sedan,excellent,4 cylinders,fwd,gas,105000,silver,mid-size,automatic,sedan,0
87,"$2,074 ",chicago,chicago W,2010 TOYOTA CAMRY,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
88,$800 ,chicago,chicago W,2000 TOYOTA CAMRY,NA,4 cylinders,NA,gas,NA,NA,NA,automatic,NA,0
89,"$5,985 ",chicago,chicago W,2002 Toyota Camry Solara,excellent,NA,NA,gas,77734,NA,NA,automatic,NA,0
90,"$5,300 ",chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,138000,silver,NA,automatic,sedan,0
91,"$2,700 ",chicago,chicago W,2003 Toyota Camry,good,4 cylinders,fwd,gas,218000,grey,NA,automatic,NA,0
92,"$3,600 ",chicago,chicago W,2004 toyota camry solara,good,6 cylinders,fwd,gas,168000,red,compact,automatic,coupe,0
